state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Arizona,2024-11-06 06:19:50.161000+00:00,Donald Trump,Kamala Harris,934888,918520,16368,1786835,7030,6930,"  6,930",0.674025974025974,0.32597402597402597,888,1736,0.5046194083466746,0.000696154643099467,0.3945666666666667,{},1869288
Arizona,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,930217,916261,13956,1793865,1954,1932,"  1,932",0.781055900621118,0.21894409937888198,884,1736,0.5039232537035752,0.00030922852570991477,0.40803333333333336,{},1862258
Arizona,2024-11-06 05:52:50.427000+00:00,Donald Trump,Kamala Harris,928708,915838,12870,1795819,11457,10587," 10,587",0.4766222725984698,0.5233777274015302,883,1736,0.5036140251778652,-0.00011520912886098245,0.4120333333333333,{},1860304
Arizona,2024-11-06 05:22:29.687000+00:00,Donald Trump,Kamala Harris,923662,910297,13365,1807276,3688,3652,"  3,652",0.7891566265060241,0.21084337349397592,878,1736,0.5037292343067262,0.0005957055050619386,0.30065548835693334,{},1848847
Arizona,2024-11-06 05:16:19.429000+00:00,Donald Trump,Kamala Harris,920780,909527,11253,1810964,12447,12351," 12,351",0.5877256902275119,0.4122743097724881,876,1736,0.5031335288016643,0.0006206973968808649,0.3143441425650015,{},1845159
Arizona,2024-11-06 05:06:43.094000+00:00,Donald Trump,Kamala Harris,913521,904435,9086,1823411,4733,4703,"  4,703",0.7191154582181587,0.28088454178184136,870,1736,0.5025128314047834,0.0005750217461979457,0.21016365202411713,{},1832712
Arizona,2024-11-06 04:47:16.799000+00:00,Donald Trump,Kamala Harris,910139,903114,7025,1828144,6981,6907,"  6,907",0.837990444476618,0.1620095555233821,868,1736,0.5019378096585855,0.001290391578529504,0.1620095555233821,{},1827979
Arizona,2024-11-06 04:24:11.321000+00:00,Donald Trump,Kamala Harris,904351,901995,2356,1835125,0,0,      0,0,0,865,1736,0.500647418080056,-0.499352581919944,,{},1820998
Georgia,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,2640803,2513864,126939,309291,8464,8402,"  8,402",0.4639371578195668,0.5360628421804332,2269,2701,0.7067397718992704,0.004546226354836258,0.4557,{},5193102
Georgia,2024-11-06 05:47:12.166000+00:00,Donald Trump,Kamala Harris,2636905,2509360,127545,317755,60191,59938," 59,938",0.5755447295538723,0.4244552704461277,2265,2701,0.7021935455444341,0.04427085893629212,0.4244552704461277,{},5184638
Georgia,2024-11-06 04:58:35.497000+00:00,Donald Trump,Kamala Harris,2602408,2483919,118489,377946,116017,114156,"114,156",0.4279757524790637,0.5720242475209363,1764,2701,0.657922686608142,0.020322190578175192,0.5720242475209363,{},5124447
Georgia,2024-11-06 04:53:06.738000+00:00,Donald Trump,Kamala Harris,2553552,2418619,134933,493963,270,269,    269,0.4386617100371747,0.5613382899628253,1719,2701,0.6376004960299668,4.153729952716123e-05,0.5245,{},5008430
Georgia,2024-11-06 04:47:16.799000+00:00,Donald Trump,Kamala Harris,2553434,2418468,134966,494233,0,0,      0,0,0,1699,2701,0.6375589587304397,0.0,0.5241666666666667,{},5008160
Georgia,2024-11-06 04:40:49.331000+00:00,Donald Trump,Kamala Harris,2553434,2418468,134966,494233,0,0,      0,0,0,1508,2701,0.6375589587304397,0.0,0.5241666666666667,{},5008160
Georgia,2024-11-06 04:32:09.276000+00:00,Donald Trump,Kamala Harris,2553434,2418468,134966,494233,35169,34751," 34,751",0.4758424218008115,0.5241575781991885,1476,2701,0.6375589587304397,0.0075406806433961915,0.5241575781991885,{},5008160
Georgia,2024-11-06 04:24:11.321000+00:00,Donald Trump,Kamala Harris,2536898,2400253,136645,529402,0,0,      0,0,0,1415,2701,0.6300182780870435,-0.36998172191295653,,{},4972991
Michigan,2024-11-06 06:19:50.161000+00:00,Donald Trump,Kamala Harris,1961092,1730699,230393,2190055,103662,102065,"102,065",0.4512418556802038,0.5487581443197962,2301,4511,0.5535254274847484,0.00021122075955448683,0.5487581443197962,{},3756756
Michigan,2024-11-06 06:12:43.135000+00:00,Donald Trump,Kamala Harris,1915036,1674690,240346,2293717,15370,15180," 15,180",0.6304347826086957,0.3695652173913043,2202,4511,0.5533142067251939,0.001227446914892627,0.3732666666666667,{},3653094
Michigan,2024-11-06 06:11:27.815000+00:00,Donald Trump,Kamala Harris,1905466,1669080,236386,2309087,12507,12300," 12,300",0.6367479674796748,0.36325203252032523,2188,4511,0.5520867598103013,0.0010178556247343318,0.41126666666666667,{},3637724
Michigan,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,1897634,1664612,233022,2321594,113386,111811,"111,811",0.5553925821251934,0.4446074178748066,2169,4511,0.551068904185567,0.00496635977236648,0.4446074178748066,{},3625217
Michigan,2024-11-06 05:58:39.910000+00:00,Donald Trump,Kamala Harris,1835535,1614900,220635,2434980,26949,26516," 26,516",0.5213456026550007,0.47865439734499926,2090,4511,0.5461025444132005,0.0007385986583252624,0.4643333333333333,{},3511831
Michigan,2024-11-06 05:57:24.526000+00:00,Donald Trump,Kamala Harris,1821711,1602208,219503,2461929,24146,23775," 23,775",0.6446687697160883,0.35533123028391167,2066,4511,0.5453639457548752,0.0018484491544407122,0.3837333333333333,{},3484882
Michigan,2024-11-06 05:52:50.427000+00:00,Donald Trump,Kamala Harris,1806384,1593760,212624,2486075,108608,107131,"107,131",0.5077335225098244,0.4922664774901756,2061,4511,0.5435154966004345,0.0021463933334268104,0.4922664774901756,{},3460736
Michigan,2024-11-06 05:47:12.166000+00:00,Donald Trump,Kamala Harris,1751990,1541023,210967,2594683,32592,32077," 32,077",0.483087570533404,0.516912429466596,1978,4511,0.5413691032670077,0.0003030727121458021,0.516912429466596,{},3352128
Michigan,2024-11-06 05:41:15.952000+00:00,Donald Trump,Kamala Harris,1736494,1524442,212052,2627275,12204,11996," 11,996",0.5356785595198399,0.46432144048016005,1953,4511,0.5410660305548619,0.00035488117810067443,0.4333,{},3319536
Michigan,2024-11-06 05:39:35.768000+00:00,Donald Trump,Kamala Harris,1730068,1518872,211196,2639479,112519,110706,"110,706",0.5873755713330804,0.41262442866691956,1937,4511,0.5407111493767612,0.0052412810796683695,0.41262442866691956,{},3307332
Michigan,2024-11-06 05:34:39.692000+00:00,Donald Trump,Kamala Harris,1665042,1473192,191850,2751998,48893,48194," 48,194",0.5810059343486741,0.4189940656513259,1881,4511,0.5354698682970929,0.0020375400343156658,0.4189940656513259,{},3194813
Michigan,2024-11-06 05:29:08.896000+00:00,Donald Trump,Kamala Harris,1637041,1452999,184042,2800891,84355,82513," 82,513",0.4365736308218099,0.5634263691781901,1828,4511,0.5334323282627772,-0.0008683525196551134,0.5634263691781901,{},3145920
Michigan,2024-11-06 05:22:29.687000+00:00,Donald Trump,Kamala Harris,1601018,1406509,194509,2885246,195501,190625,"190,625",0.542567868852459,0.457432131147541,1796,4511,0.5343006807824323,0.00485697445045985,0.457432131147541,{},3061565
